titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,boite_vitesse,carburant,url_page,categorie
Peugeot 2008 2018,Peugeot,2008,2018,6 000 000FCFA,6000000,"Passée, il y a 5 jours",184000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 2008 2018,Peugeot,2008,2018,6 000 000FCFA,6000000,"Passée, il y a 5 jours",184000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 2008 2018,Peugeot,2008,2018,6 000 000FCFA,6000000,"Passée, il y a 5 jours",184000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 2008 2018,Peugeot,2008,2018,6 000 000FCFA,6000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 2008 2018,Peugeot,2008,2018,6 000 000FCFA,6000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Bmw Serie 3 2014,Bmw,2014,Serie 3,3 000 000FCFA,3000000,"Passée, il y a 5 jours",74000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Bmw Serie 3 2014,Bmw,2014,Serie 3,3 000 000FCFA,3000000,"Passée, il y a 5 jours",74000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Bmw Serie 3 2014,Bmw,2014,Serie 3,3 000 000FCFA,3000000,"Passée, il y a 5 jours",74000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Bmw Serie 3 2014,Bmw,2014,Serie 3,3 000 000FCFA,3000000,"Passée, il y a 5 jours",74000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Bmw Serie 3 2014,Bmw,2014,Serie 3,3 000 000FCFA,3000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Bmw Serie 3 2014,Bmw,2014,Serie 3,3 000 000FCFA,3000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2015,Peugeot,2015,3008,6 800 000FCFA,6800000,"Passée, il y a 6 jours",171900.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2015,Peugeot,2015,3008,6 800 000FCFA,6800000,"Passée, il y a 6 jours",171900.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2015,Peugeot,2015,3008,6 800 000FCFA,6800000,"Passée, il y a 6 jours",171900.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2015,Peugeot,2015,3008,6 800 000FCFA,6800000,"Passée, il y a 6 jours",171900.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2015,Peugeot,2015,3008,6 800 000FCFA,6800000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2015,Peugeot,2015,3008,6 800 000FCFA,6800000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 5008 2019,Peugeot,2019,5008,4 000 000FCFA,4000000,"Passée, il y a 6 jours",80000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
