titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,url_page,categorie
Honda XL Transalp 1996,Honda,1996,XL Transalp,1 200 000FCFA,1200000,"Passée, il y a 5 mois",63750.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XL Transalp 1996,Honda,1996,XL Transalp,1 200 000FCFA,1200000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XL Transalp 1996,Honda,1996,XL Transalp,1 200 000FCFA,1200000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Piaggio Liberty 2022,Piaggio,2022,Liberty,400 000FCFA,400000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Piaggio Liberty 2022,Piaggio,2022,Liberty,400 000FCFA,400000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Piaggio Liberty 2022,Piaggio,2022,Liberty,400 000FCFA,400000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Piaggio Liberty 2022,Piaggio,2022,Liberty,400 000FCFA,400000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Piaggio Liberty 2022,Piaggio,2022,Liberty,400 000FCFA,400000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Piaggio Liberty 2022,Piaggio,2022,Liberty,400 000FCFA,400000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XRV Africa Twin 2018,Honda,2018,XRV Africa Twin,3 900 000FCFA,3900000,"Passée, il y a 5 mois",12000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XRV Africa Twin 2018,Honda,2018,XRV Africa Twin,3 900 000FCFA,3900000,"Passée, il y a 5 mois",12000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XRV Africa Twin 2018,Honda,2018,XRV Africa Twin,3 900 000FCFA,3900000,"Passée, il y a 5 mois",12000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XRV Africa Twin 2018,Honda,2018,XRV Africa Twin,3 900 000FCFA,3900000,"Passée, il y a 5 mois",12000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XRV Africa Twin 2018,Honda,2018,XRV Africa Twin,3 900 000FCFA,3900000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XRV Africa Twin 2018,Honda,2018,XRV Africa Twin,3 900 000FCFA,3900000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CB Hornet 2003,Honda,2003,CB Hornet,1 100 000FCFA,1100000,"Passée, il y a 5 mois",20000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CB Hornet 2003,Honda,2003,CB Hornet,1 100 000FCFA,1100000,"Passée, il y a 5 mois",20000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CB Hornet 2003,Honda,2003,CB Hornet,1 100 000FCFA,1100000,"Passée, il y a 5 mois",20000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CB Hornet 2003,Honda,2003,CB Hornet,1 100 000FCFA,1100000,"Passée, il y a 5 mois",20000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CB Hornet 2003,Honda,2003,CB Hornet,1 100 000FCFA,1100000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CB Hornet 2003,Honda,2003,CB Hornet,1 100 000FCFA,1100000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2018,Honda,2018,SH,1 350 000FCFA,1350000,"Passée, il y a 5 mois",32000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
